date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:48	203551/203551	---MCZ	200	added ('OK')	text/html	etag:W/%226381f86e-31b1f%22	https://htmldemo.net/harosa/harosa-v2/index.html	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/index.html	(from )
16:16:48	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20May%202024%2016:16:49%20GMT	https://htmldemo.net/robots.txt		(from )
16:16:49	436/436	---M--	200	added ('OK')	image/webp	date:Tue,%2021%20May%202024%2016:16:49%20GMT	https://htmldemo.net/harosa/harosa-v2/assets/images/favicon.webp	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/images/favicon.webp	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:50	30996/30996	---MCZ	200	added ('OK')	text/css	etag:W/%226381f885-7914%22	https://htmldemo.net/harosa/harosa-v2/assets/css/font-awesome.min.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/font-awesome.min.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:50	51295/51295	---MCZ	200	added ('OK')	text/css	etag:W/%226381f886-c85f%22	https://htmldemo.net/harosa/harosa-v2/assets/css/ionicons.min.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/ionicons.min.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:51	56058/56058	---MCZ	200	added ('OK')	text/css	etag:W/%226381f8a8-dafa%22	https://htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/animate.min.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/animate.min.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:51	953/953	---MCZ	200	added ('OK')	text/css	etag:W/%226381f8a9-3b9%22	https://htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/easyzoom.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/easyzoom.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:51	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%226381f883-2f92b%22	https://htmldemo.net/harosa/harosa-v2/assets/css/bootstrap.min.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/bootstrap.min.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:52	22474/22474	---MCZ	200	added ('OK')	text/css	etag:W/%226381f8aa-57ca%22	https://htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/jquery-ui.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/jquery-ui.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
16:16:52	4168/4168	---MCZ	200	added ('OK')	text/css	etag:W/%226381f8ad-1048%22	https://htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/nice-select.css	D:/Kojo/Test2/htmldemo.net/harosa/harosa-v2/assets/css/css-plugins/nice-select.css	(from https://htmldemo.net/harosa/harosa-v2/index.html)
